Black Body Radiation Experiment Tue, Nov 23, 2021 11:24 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.01035	0.00064
0.01035	-0.00000
0.01035	-0.00037
0.01035	-0.00051
0.01035	-0.00047
0.01035	-0.00029
0.01035	-0.00002
0.01035	0.00015
0.01035	0.00019
0.01035	0.00069
0.02070	0.00107
0.02070	0.00107
0.03104	0.00075
0.03104	0.00081
0.04139	0.00032
0.05174	0.00011
0.06209	0.00060
0.07244	0.00101
0.09313	0.00174
0.11383	0.00171
0.15522	0.00180
0.20696	0.00171
0.26905	0.00150
0.43462	0.00149
0.71403	0.00095
1.04517	0.00075
1.23144	0.00042
1.32457	0.00054
1.38666	0.00091
1.42805	0.00051
1.47979	0.00089
1.51084	0.00134
1.52118	0.00188
1.52118	0.00196
1.52118	0.00167
1.52118	0.00173
1.52118	0.00164
1.52118	0.00223
1.53153	0.00268
1.53153	0.00295
1.54188	0.00324
1.55223	0.00297
1.58327	0.00347
1.63501	0.00430
1.74885	0.00371
1.89372	0.00349
2.02825	0.00280
2.17312	0.00326
2.29730	0.00304
2.40078	0.00369
2.46287	0.00371
2.50426	0.00386
2.53531	0.00347
2.56635	0.00243
2.59740	0.00178
2.63879	0.00127
2.66983	0.00040
2.71123	0.00059
2.75262	0.00059
2.79401	0.00113
2.81471	0.00144
2.85610	0.00268
2.89749	0.00332
2.94924	0.00389
3.02167	0.00452
3.08376	0.00475
3.15620	0.00500
3.23899	0.00514
3.32177	0.00485
3.40456	0.00426
3.47699	0.00387
3.58048	0.00371
3.65291	0.00418
3.73570	0.00518
3.79779	0.00540
3.89092	0.00545
3.97371	0.00619
4.06684	0.00642
4.18067	0.00589
4.33589	0.00504
4.43938	0.00417
4.56355	0.00318
4.67738	0.00291
4.76017	0.00236
4.85330	0.00251
4.91539	0.00292
4.98783	0.00245
5.06027	0.00254
5.13271	0.00252
5.18445	0.00240
5.25688	0.00247
5.33967	0.00216
5.43280	0.00260
5.52594	0.00275
5.63977	0.00318
5.76395	0.00289
5.89847	0.00316
6.03300	0.00321
6.16752	0.00337
6.29170	0.00428
6.42623	0.00488
6.54006	0.00574
6.65389	0.00642
6.77807	0.00688
6.89190	0.00712
6.99538	0.00721
7.10921	0.00732
7.22304	0.00691
7.32652	0.00684
7.43000	0.00632
7.53349	0.00622
7.63697	0.00658
7.75080	0.00679
7.86463	0.00690
7.99916	0.00729
8.11299	0.00778
8.23716	0.00781
8.37169	0.00888
8.49587	0.00913
8.64074	0.00924
8.79597	0.00944
8.96154	0.00961
9.11676	0.00959
9.26164	0.00967
9.41686	0.00957
9.55139	0.00919
9.67556	0.00877
9.78939	0.00830
9.91357	0.00759
10.02740	0.00744
10.14123	0.00639
10.26541	0.00598
10.37924	0.00585
10.49307	0.00635
10.62760	0.00713
10.75178	0.00829
10.89665	0.00965
11.02083	0.01044
11.14501	0.01049
11.27953	0.01028
11.45545	0.00956
11.58998	0.00925
11.71416	0.00859
11.81764	0.00838
11.92112	0.00829
12.03495	0.00916
12.14878	0.00987
12.25226	0.01084
12.35575	0.01132
12.39714	0.01162
12.57306	0.01202
12.64550	0.01216
12.76967	0.01199
12.88350	0.01233
13.00768	0.01316
13.13186	0.01357
13.30778	0.01409
13.43196	0.01485
13.57683	0.01485
13.69066	0.01527
13.87693	0.01552
14.02181	0.01619
14.16668	0.01723
14.29086	0.01819
14.43573	0.01839
14.58061	0.01908
14.77722	0.02017
14.91175	0.02130
15.06697	0.02286
15.28429	0.02434
15.48090	0.02641
15.62578	0.02906
15.81204	0.03234
15.97761	0.03600
16.14319	0.04108
16.28806	0.04725
16.47433	0.05398
16.62955	0.06196
16.78477	0.07195
16.94000	0.08294
17.07452	0.09519
17.21940	0.10888
17.36427	0.12451
17.54019	0.14088
17.70576	0.16007
17.88168	0.18064
18.07830	0.20416
18.24387	0.23039
18.41979	0.25912
18.60606	0.28941
18.81302	0.32264
19.01998	0.35718
19.19590	0.39437
19.41322	0.43407
19.66157	0.47508
19.89958	0.51773
20.12724	0.56198
20.35490	0.60420
20.58256	0.64687
20.83092	0.68828
21.04823	0.72653
21.29659	0.76039
21.51390	0.79103
21.74156	0.81673
21.95887	0.83854
22.14514	0.85737
22.27967	0.87266
22.44524	0.88586
22.57976	0.89680
22.68325	0.90544
22.84882	0.91409
23.02474	0.92139
23.14891	0.92666
23.33518	0.93070
23.46971	0.93400
23.62493	0.93613
23.79050	0.93728
23.91468	0.93837
24.04921	0.93755
24.19408	0.93585
24.33896	0.93348
24.47348	0.92953
24.60801	0.92408
24.75289	0.91733
24.89776	0.90791
25.02194	0.89697
25.14612	0.88444
25.29099	0.86986
25.44621	0.85190
25.59109	0.83066
25.72562	0.80406
25.86014	0.77362
26.01537	0.73874
26.18094	0.69988
26.33616	0.65693
26.47069	0.60898
26.62591	0.55604
26.78113	0.50039
26.93635	0.44387
27.10193	0.38671
27.28819	0.33086
27.42272	0.27904
27.57794	0.23225
27.73317	0.19232
27.86769	0.15937
27.99187	0.13415
28.15744	0.11478
28.31266	0.09872
28.45754	0.08668
28.62311	0.07674
28.76799	0.06807
28.90251	0.05998
29.05773	0.05276
29.21296	0.04709
29.37853	0.04169
29.48201	0.03740
29.66828	0.03431
29.85455	0.03248
29.98907	0.03199
30.15464	0.03293
